protein_id	orthogroup_id
7955.ENSDARP00000108809	2QPMV
10090.ENSMUSP00000017891	2QPMW
10116.ENSRNOP00000025590	2QPMW
7955.ENSDARP00000122067	2QPMW
9606.ENSP00000301671	2QPMW
4932.YER114C	2QPMX
10090.ENSMUSP00000030460	2QPN2
10116.ENSRNOP00000068310	2QPN2
7955.ENSDARP00000099988	2QPN2
9606.ENSP00000347224	2QPN2
10090.ENSMUSP00000027988	2QPN3
10116.ENSRNOP00000024110	2QPN3
7955.ENSDARP00000031745	2QPN3
9606.ENSP00000368102	2QPN3
10090.ENSMUSP00000002099	2QPNA
10116.ENSRNOP00000019011	2QPNA
7955.ENSDARP00000083038	2QPNA
9606.ENSP00000264020	2QPNA
7955.ENSDARP00000102223	2QPNG
10090.ENSMUSP00000103222	2QPNH
10116.ENSRNOP00000016070	2QPNH
7955.ENSDARP00000118257	2QPNH
9606.ENSP00000484715	2QPNH
10090.ENSMUSP00000097889	2QPNP
10116.ENSRNOP00000013520	2QPNP
7955.ENSDARP00000065498	2QPNP
7955.ENSDARP00000076338	2QPNP
9606.ENSP00000299339	2QPNP
10090.ENSMUSP00000092900	2QPNQ
10116.ENSRNOP00000050310	2QPNQ
7955.ENSDARP00000105484	2QPNQ
9606.ENSP00000333593	2QPNQ
10090.ENSMUSP00000118257	2QPNS
10116.ENSRNOP00000060690	2QPNS
10116.ENSRNOP00000064178	2QPNS
10116.ENSRNOP00000064900	2QPNS
7955.ENSDARP00000089318	2QPNS
9606.ENSP00000386280	2QPNS
10090.ENSMUSP00000061517	2QPNT
10116.ENSRNOP00000038231	2QPNT
7955.ENSDARP00000102615	2QPNT
9606.ENSP00000308591	2QPNT
10090.ENSMUSP00000038506	2QPNV
10090.ENSMUSP00000042007	2QPNV
10116.ENSRNOP00000060019	2QPNV
10116.ENSRNOP00000068399	2QPNV
7955.ENSDARP00000058795	2QPNV
7955.ENSDARP00000065082	2QPNV
7955.ENSDARP00000109943	2QPNV
9606.ENSP00000265342	2QPNV
9606.ENSP00000305334	2QPNV
10090.ENSMUSP00000035773	2QPNX
10116.ENSRNOP00000009582	2QPNX
7955.ENSDARP00000097597	2QPNX
9606.ENSP00000360323	2QPNX
10090.ENSMUSP00000026315	2QPNY
10116.ENSRNOP00000012532	2QPNY
7955.ENSDARP00000033750	2QPNY
7955.ENSDARP00000095198	2QPNY
9606.ENSP00000358824	2QPNY
9606.ENSP00000378053	2QPNY
10090.ENSMUSP00000127250	2QPP0
10116.ENSRNOP00000027360	2QPP0
7955.ENSDARP00000112736	2QPP0
9606.ENSP00000378760	2QPP0
10090.ENSMUSP00000032151	2QPP4
10116.ENSRNOP00000013719	2QPP4
7955.ENSDARP00000015325	2QPP4
9606.ENSP00000393324	2QPP4
10090.ENSMUSP00000048752	2QPP5
10090.ENSMUSP00000102971	2QPP5
10116.ENSRNOP00000015899	2QPP5
10116.ENSRNOP00000043873	2QPP5
7955.ENSDARP00000097719	2QPP5
7955.ENSDARP00000107108	2QPP5
7955.ENSDARP00000122327	2QPP5
9606.ENSP00000258888	2QPP5
9606.ENSP00000354991	2QPP5
10090.ENSMUSP00000023150	2QPPE
10116.ENSRNOP00000003439	2QPPE
10116.ENSRNOP00000062957	2QPPE
7955.ENSDARP00000011098	2QPPE
7955.ENSDARP00000072200	2QPPE
9606.ENSP00000331720	2QPPE
10090.ENSMUSP00000098083	2QPPG
10116.ENSRNOP00000001733	2QPPG
7955.ENSDARP00000113473	2QPPG
9606.ENSP00000380283	2QPPG
10090.ENSMUSP00000058152	2QPPI
10116.ENSRNOP00000066104	2QPPI
7955.ENSDARP00000110269	2QPPI
9606.ENSP00000340975	2QPPI
10090.ENSMUSP00000027852	2QPPT
10116.ENSRNOP00000004326	2QPPT
9606.ENSP00000356825	2QPPT
10090.ENSMUSP00000042416	2QPPU
10116.ENSRNOP00000036312	2QPPU
7955.ENSDARP00000091517	2QPPU
9606.ENSP00000402661	2QPPU
10090.ENSMUSP00000021681	2QPPX
10090.ENSMUSP00000036768	2QPPX
10116.ENSRNOP00000005095	2QPPX
10116.ENSRNOP00000014017	2QPPX
7955.ENSDARP00000114200	2QPPX
7955.ENSDARP00000127404	2QPPX
9606.ENSP00000167106	2QPPX
9606.ENSP00000428324	2QPPX
10090.ENSMUSP00000025847	2QPQ2
10116.ENSRNOP00000027927	2QPQ2
7955.ENSDARP00000022333	2QPQ2
7955.ENSDARP00000035929	2QPQ2
7955.ENSDARP00000119615	2QPQ2
9606.ENSP00000344572	2QPQ2
7955.ENSDARP00000091384	2QPQ3
10090.ENSMUSP00000022721	2QPQ5
10116.ENSRNOP00000012927	2QPQ5
7955.ENSDARP00000080737	2QPQ5
7955.ENSDARP00000097549	2QPQ5
9606.ENSP00000366673	2QPQ5
10090.ENSMUSP00000109671	2QPQ7
10116.ENSRNOP00000002769	2QPQ7
7955.ENSDARP00000101748	2QPQ7
9606.ENSP00000348984	2QPQ7
10090.ENSMUSP00000081142	2QPQ8
10116.ENSRNOP00000041889	2QPQ8
10116.ENSRNOP00000056151	2QPQ8
7955.ENSDARP00000058554	2QPQ8
7955.ENSDARP00000128116	2QPQ8
9606.ENSP00000240185	2QPQ8
10090.ENSMUSP00000044833	2QPQ9
10116.ENSRNOP00000021762	2QPQ9
7955.ENSDARP00000007564	2QPQ9
9606.ENSP00000313933	2QPQ9
4932.YAL063C	2QPQC
4932.YAR050W	2QPQC
4932.YHR211W	2QPQC
4932.YHR213W	2QPQC
4932.YKR102W	2QPQC
7955.ENSDARP00000100723	2QPQD
7955.ENSDARP00000105615	2QPQD
7955.ENSDARP00000109275	2QPQD
10090.ENSMUSP00000093206	2QPQE
10116.ENSRNOP00000030389	2QPQE
7955.ENSDARP00000127179	2QPQE
9606.ENSP00000331474	2QPQE
10090.ENSMUSP00000021066	2QPQH
10116.ENSRNOP00000004383	2QPQH
7955.ENSDARP00000057324	2QPQH
7955.ENSDARP00000099217	2QPQH
9606.ENSP00000262138	2QPQH
10090.ENSMUSP00000041629	2QPQJ
10090.ENSMUSP00000043346	2QPQJ
10090.ENSMUSP00000114175	2QPQJ
10116.ENSRNOP00000004323	2QPQJ
10116.ENSRNOP00000004982	2QPQJ
10116.ENSRNOP00000024701	2QPQJ
7955.ENSDARP00000000748	2QPQJ
7955.ENSDARP00000006873	2QPQJ
7955.ENSDARP00000123093	2QPQJ
9606.ENSP00000264968	2QPQJ
9606.ENSP00000338487	2QPQJ
9606.ENSP00000421185	2QPQJ
4932.YKL004W	2QPQM
7955.ENSDARP00000105441	2QPQN
10090.ENSMUSP00000091595	2QPQQ
10116.ENSRNOP00000017885	2QPQQ
7955.ENSDARP00000100679	2QPQQ
9606.ENSP00000379144	2QPQQ
10090.ENSMUSP00000030811	2QPQW
10116.ENSRNOP00000065431	2QPQW
7955.ENSDARP00000105673	2QPQW
7955.ENSDARP00000109854	2QPQW
9606.ENSP00000366702	2QPQW
10090.ENSMUSP00000128388	2QPQY
10116.ENSRNOP00000068187	2QPQY
7955.ENSDARP00000100961	2QPQY
9606.ENSP00000376865	2QPQY
10090.ENSMUSP00000092494	2QPR1
10116.ENSRNOP00000049840	2QPR1
7955.ENSDARP00000107884	2QPR1
7955.ENSDARP00000108636	2QPR1
9606.ENSP00000387075	2QPR1
9606.ENSP00000476820	2QPR1
7955.ENSDARP00000054980	2QPR3
10090.ENSMUSP00000039493	2QPR5
10116.ENSRNOP00000054160	2QPR5
7955.ENSDARP00000013189	2QPR5
7955.ENSDARP00000014072	2QPR5
9606.ENSP00000383059	2QPR5
4932.YGR111W	2QPR6
4932.YEL023C	2QPR9
10090.ENSMUSP00000022239	2QPRC
10090.ENSMUSP00000026267	2QPRC
10116.ENSRNOP00000055141	2QPRC
10116.ENSRNOP00000057331	2QPRC
7955.ENSDARP00000062653	2QPRC
7955.ENSDARP00000067065	2QPRC
7955.ENSDARP00000100775	2QPRC
7955.ENSDARP00000112689	2QPRC
7955.ENSDARP00000117827	2QPRC
9606.ENSP00000281631	2QPRC
9606.ENSP00000456348	2QPRC
10090.ENSMUSP00000030143	2QPRH
10090.ENSMUSP00000066138	2QPRH
10116.ENSRNOP00000015920	2QPRH
10116.ENSRNOP00000024364	2QPRH
7955.ENSDARP00000086571	2QPRH
7955.ENSDARP00000120289	2QPRH
7955.ENSDARP00000120498	2QPRH
9606.ENSP00000368540	2QPRH
9606.ENSP00000389445	2QPRH
10090.ENSMUSP00000043738	2QPRQ
10116.ENSRNOP00000022120	2QPRQ
7955.ENSDARP00000088237	2QPRQ
7955.ENSDARP00000107869	2QPRQ
9606.ENSP00000373808	2QPRQ
10090.ENSMUSP00000020365	2QPRU
10090.ENSMUSP00000079200	2QPRU
10090.ENSMUSP00000085806	2QPRU
10090.ENSMUSP00000108666	2QPRU
10090.ENSMUSP00000109751	2QPRU
10090.ENSMUSP00000109754	2QPRU
10116.ENSRNOP00000023222	2QPRU
10116.ENSRNOP00000043912	2QPRU
10116.ENSRNOP00000057438	2QPRU
10116.ENSRNOP00000060281	2QPRU
7955.ENSDARP00000079481	2QPRU
9606.ENSP00000338641	2QPRU
9606.ENSP00000467083	2QPRU
10090.ENSMUSP00000026445	2QPRX
10090.ENSMUSP00000031565	2QPRX
10116.ENSRNOP00000051858	2QPRX
7955.ENSDARP00000077372	2QPRX
7955.ENSDARP00000077647	2QPRX
7955.ENSDARP00000094422	2QPRX
7955.ENSDARP00000098380	2QPRX
9606.ENSP00000334665	2QPRX
9606.ENSP00000371798	2QPRX
10090.ENSMUSP00000023285	2QPRY
10116.ENSRNOP00000039935	2QPRY
9606.ENSP00000379038	2QPRY
10090.ENSMUSP00000083057	2QPRZ
10116.ENSRNOP00000011450	2QPRZ
7955.ENSDARP00000089064	2QPRZ
9606.ENSP00000357079	2QPRZ
10090.ENSMUSP00000006697	2QPS2
10090.ENSMUSP00000006703	2QPS2
10090.ENSMUSP00000026886	2QPS2
10090.ENSMUSP00000046530	2QPS2
10116.ENSRNOP00000023984	2QPS2
10116.ENSRNOP00000036443	2QPS2
10116.ENSRNOP00000058007	2QPS2
10116.ENSRNOP00000064110	2QPS2
10116.ENSRNOP00000064890	2QPS2
7955.ENSDARP00000037689	2QPS2
7955.ENSDARP00000066932	2QPS2
7955.ENSDARP00000066933	2QPS2
7955.ENSDARP00000071811	2QPS2
7955.ENSDARP00000072911	2QPS2
7955.ENSDARP00000113767	2QPS2
9606.ENSP00000218436	2QPS2
9606.ENSP00000266041	2QPS2
9606.ENSP00000351190	2QPS2
9606.ENSP00000380333	2QPS2
9606.ENSP00000415769	2QPS2
10090.ENSMUSP00000103791	2QPS5
10116.ENSRNOP00000021453	2QPS5
7955.ENSDARP00000078268	2QPS5
9606.ENSP00000264499	2QPS5
10090.ENSMUSP00000020493	2QPS6
10116.ENSRNOP00000001644	2QPS6
7955.ENSDARP00000066423	2QPS6
9606.ENSP00000339613	2QPS6
10090.ENSMUSP00000034955	2QPSD
10116.ENSRNOP00000039361	2QPSD
7955.ENSDARP00000107717	2QPSD
7955.ENSDARP00000109573	2QPSD
9606.ENSP00000204566	2QPSD
10090.ENSMUSP00000020926	2QPSG
10116.ENSRNOP00000060795	2QPSG
7955.ENSDARP00000020319	2QPSG
9606.ENSP00000295092	2QPSG
10090.ENSMUSP00000049303	2QPSH
10116.ENSRNOP00000021010	2QPSH
7955.ENSDARP00000129087	2QPSH
9606.ENSP00000257860	2QPSH
10090.ENSMUSP00000128881	2QPSI
10116.ENSRNOP00000060843	2QPSI
9606.ENSP00000286760	2QPSI
7955.ENSDARP00000104629	2QPSQ
4932.YMR307W	2QPST
4932.YBR249C	2QPSU
4932.YDR035W	2QPSU
10090.ENSMUSP00000032969	2QPSW
10116.ENSRNOP00000024875	2QPSW
7955.ENSDARP00000092475	2QPSW
9606.ENSP00000263681	2QPSW
10090.ENSMUSP00000062433	2QPT0
10116.ENSRNOP00000023236	2QPT0
7955.ENSDARP00000111696	2QPT0
9606.ENSP00000303058	2QPT0
10090.ENSMUSP00000032719	2QPT3
10090.ENSMUSP00000067448	2QPT3
10116.ENSRNOP00000009122	2QPT3
10116.ENSRNOP00000051474	2QPT3
7955.ENSDARP00000098329	2QPT3
7955.ENSDARP00000102414	2QPT3
7955.ENSDARP00000117598	2QPT3
9606.ENSP00000379396	2QPT3
9606.ENSP00000381007	2QPT3
10090.ENSMUSP00000037194	2QPT4
10116.ENSRNOP00000030689	2QPT4
7955.ENSDARP00000123265	2QPT4
9606.ENSP00000362650	2QPT4
4932.YHR063C	2QPT5
4932.YBR275C	2QPT7
10090.ENSMUSP00000022586	2QPTB
10116.ENSRNOP00000001366	2QPTB
7955.ENSDARP00000101596	2QPTB
9606.ENSP00000368459	2QPTB
10090.ENSMUSP00000017946	2QPTN
10090.ENSMUSP00000095300	2QPTN
10116.ENSRNOP00000027217	2QPTN
10116.ENSRNOP00000054145	2QPTN
7955.ENSDARP00000086709	2QPTN
7955.ENSDARP00000105943	2QPTN
9606.ENSP00000309432	2QPTN
9606.ENSP00000395249	2QPTN
10090.ENSMUSP00000033602	2QPTP
10116.ENSRNOP00000005214	2QPTP
7955.ENSDARP00000068994	2QPTP
9606.ENSP00000362122	2QPTP
4932.YFL050C	2QPTQ
4932.YKL064W	2QPTQ
4932.YOL130W	2QPTQ
10090.ENSMUSP00000054499	2QPTS
10116.ENSRNOP00000019772	2QPTS
7955.ENSDARP00000112231	2QPTS
9606.ENSP00000346839	2QPTS
10090.ENSMUSP00000107551	2QPTX
10116.ENSRNOP00000016132	2QPTX
7955.ENSDARP00000073572	2QPTX
9606.ENSP00000234453	2QPTX
10090.ENSMUSP00000130899	2QPTZ
10116.ENSRNOP00000030117	2QPTZ
7955.ENSDARP00000124972	2QPTZ
9606.ENSP00000448012	2QPTZ
10090.ENSMUSP00000035948	2QPU4
10116.ENSRNOP00000056078	2QPU4
7955.ENSDARP00000103689	2QPU4
9606.ENSP00000298097	2QPU4
4932.YOR017W	2QPU6
4932.YIR007W	2QPU8
10090.ENSMUSP00000030842	2QPUB
10116.ENSRNOP00000021823	2QPUB
7955.ENSDARP00000072766	2QPUB
9606.ENSP00000366430	2QPUB
10090.ENSMUSP00000123931	2QPUC
10116.ENSRNOP00000032869	2QPUC
10116.ENSRNOP00000053980	2QPUC
9606.ENSP00000313875	2QPUC
10090.ENSMUSP00000016397	2QPUE
10116.ENSRNOP00000066539	2QPUE
7955.ENSDARP00000021861	2QPUE
9606.ENSP00000473290	2QPUE
10090.ENSMUSP00000066614	2QPUF
10116.ENSRNOP00000018058	2QPUF
7955.ENSDARP00000080008	2QPUF
9606.ENSP00000334851	2QPUF
10090.ENSMUSP00000001712	2QPUI
10116.ENSRNOP00000001659	2QPUI
7955.ENSDARP00000099714	2QPUI
7955.ENSDARP00000115318	2QPUI
9606.ENSP00000381364	2QPUI
10116.ENSRNOP00000061851	2QPUP
10116.ENSRNOP00000062897	2QPUP
7955.ENSDARP00000118525	2QPUP
9606.ENSP00000417061	2QPUP
10090.ENSMUSP00000046891	2QPUS
10116.ENSRNOP00000025460	2QPUS
7955.ENSDARP00000099429	2QPUS
9606.ENSP00000301972	2QPUS
10090.ENSMUSP00000129832	2QPUU
10116.ENSRNOP00000054933	2QPUU
7955.ENSDARP00000129667	2QPUU
9606.ENSP00000450444	2QPUU
4932.YPL260W	2QPV0
10090.ENSMUSP00000040905	2QPV2
10116.ENSRNOP00000024900	2QPV2
7955.ENSDARP00000118732	2QPV2
9606.ENSP00000358363	2QPV2
10090.ENSMUSP00000045724	2QPV4
10116.ENSRNOP00000001588	2QPV4
7955.ENSDARP00000121787	2QPV4
9606.ENSP00000443292	2QPV4
10090.ENSMUSP00000070533	2QPV7
10116.ENSRNOP00000068151	2QPV7
10116.ENSRNOP00000068208	2QPV7
7955.ENSDARP00000091840	2QPV7
9606.ENSP00000358718	2QPV7
4932.YLR187W	2QPV9
4932.YNL278W	2QPV9
10090.ENSMUSP00000059304	2QPVB
10116.ENSRNOP00000005325	2QPVB
7955.ENSDARP00000106828	2QPVB
9606.ENSP00000462963	2QPVB
10090.ENSMUSP00000091252	2QPVG
10116.ENSRNOP00000030995	2QPVG
7955.ENSDARP00000048854	2QPVG
7955.ENSDARP00000108041	2QPVG
9606.ENSP00000262102	2QPVG
7955.ENSDARP00000099884	2QPVI
10090.ENSMUSP00000093968	2QPVK
10116.ENSRNOP00000032158	2QPVK
7955.ENSDARP00000100119	2QPVK
7955.ENSDARP00000100624	2QPVK
9606.ENSP00000327889	2QPVK
4932.YLR451W	2QPVP
7955.ENSDARP00000128603	2QPVT
4932.YIL123W	2QPVV
4932.YNL066W	2QPVV
10090.ENSMUSP00000098217	2QPVX
10116.ENSRNOP00000002006	2QPVX
10116.ENSRNOP00000002010	2QPVX
7955.ENSDARP00000123826	2QPVX
9606.ENSP00000397566	2QPVX
10090.ENSMUSP00000023044	2QPW1
10116.ENSRNOP00000024835	2QPW1
7955.ENSDARP00000055408	2QPW1
7955.ENSDARP00000094368	2QPW1
9606.ENSP00000330432	2QPW1
10090.ENSMUSP00000091074	2QPW2
10116.ENSRNOP00000006911	2QPW2
7955.ENSDARP00000073207	2QPW2
9606.ENSP00000385357	2QPW2
10090.ENSMUSP00000074862	2QPW4
10116.ENSRNOP00000032589	2QPW4
7955.ENSDARP00000103515	2QPW4
7955.ENSDARP00000104029	2QPW4
9606.ENSP00000457168	2QPW4
10090.ENSMUSP00000109261	2QPW5
9606.ENSP00000476792	2QPW5
10090.ENSMUSP00000022881	2QPW8
10116.ENSRNOP00000062258	2QPW8
7955.ENSDARP00000099481	2QPW8
9606.ENSP00000304642	2QPW8
10090.ENSMUSP00000119790	2QPW9
10116.ENSRNOP00000002443	2QPW9
7955.ENSDARP00000012786	2QPW9
9606.ENSP00000311502	2QPW9
10116.ENSRNOP00000032467	2QPWB
7955.ENSDARP00000050978	2QPWB
9606.ENSP00000283357	2QPWB
4932.YLR182W	2QPWC
10090.ENSMUSP00000087318	2QPWE
10116.ENSRNOP00000015172	2QPWE
10116.ENSRNOP00000065644	2QPWE
7955.ENSDARP00000107850	2QPWE
7955.ENSDARP00000109382	2QPWE
9606.ENSP00000386227	2QPWE
10090.ENSMUSP00000099756	2QPWJ
10116.ENSRNOP00000004448	2QPWJ
9606.ENSP00000373674	2QPWJ
10090.ENSMUSP00000019907	2QPWN
10116.ENSRNOP00000034853	2QPWN
7955.ENSDARP00000056961	2QPWN
9606.ENSP00000229758	2QPWN
10090.ENSMUSP00000106329	2QPWR
10116.ENSRNOP00000014664	2QPWR
7955.ENSDARP00000124014	2QPWR
9606.ENSP00000348564	2QPWR
10090.ENSMUSP00000034206	2QPWU
10116.ENSRNOP00000026076	2QPWU
7955.ENSDARP00000060999	2QPWU
9606.ENSP00000245157	2QPWU
10090.ENSMUSP00000131865	2QPWY
10116.ENSRNOP00000007982	2QPWY
7955.ENSDARP00000070990	2QPWY
9606.ENSP00000394049	2QPWY
10090.ENSMUSP00000040074	2QPWZ
10090.ENSMUSP00000043570	2QPWZ
10116.ENSRNOP00000001093	2QPWZ
10116.ENSRNOP00000051395	2QPWZ
7955.ENSDARP00000082121	2QPWZ
7955.ENSDARP00000098812	2QPWZ
7955.ENSDARP00000126967	2QPWZ
9606.ENSP00000310565	2QPWZ
9606.ENSP00000332151	2QPWZ
10090.ENSMUSP00000045925	2QPX2
10116.ENSRNOP00000055000	2QPX2
7955.ENSDARP00000043955	2QPX2
7955.ENSDARP00000113137	2QPX2
9606.ENSP00000393154	2QPX2
10090.ENSMUSP00000029766	2QPX3
10090.ENSMUSP00000073866	2QPX3
10116.ENSRNOP00000037663	2QPX3
10116.ENSRNOP00000062880	2QPX3
7955.ENSDARP00000006017	2QPX3
7955.ENSDARP00000038222	2QPX3
7955.ENSDARP00000104233	2QPX3
7955.ENSDARP00000111201	2QPX3
9606.ENSP00000317817	2QPX3
9606.ENSP00000359264	2QPX3
10090.ENSMUSP00000025385	2QPX4
10116.ENSRNOP00000021646	2QPX4
7955.ENSDARP00000046430	2QPX4
10090.ENSMUSP00000036778	2QPXF
10116.ENSRNOP00000053783	2QPXF
7955.ENSDARP00000117101	2QPXF
7955.ENSDARP00000120759	2QPXF
9606.ENSP00000238855	2QPXF
4932.YDL133W	2QPXG
7955.ENSDARP00000091772	2QPXH
